partijnummer,partij,volgnummer,naam,kieskring,stemmen
1,VVD,1,"Rutte, M. (Mark) (m)",1,37891
1,VVD,1,"Rutte, M. (Mark) (m)",2,54838
1,VVD,1,"Rutte, M. (Mark) (m)",3,45988
1,VVD,1,"Rutte, M. (Mark) (m)",4,105486
1,VVD,1,"Rutte, M. (Mark) (m)",5,37956
1,VVD,1,"Rutte, M. (Mark) (m)",6,57873
1,VVD,1,"Rutte, M. (Mark) (m)",7,166658
1,VVD,2,"Hennis-Plasschaert, J.A. (Jeanine) (v)",1,3291
1,VVD,2,"Hennis-Plasschaert, J.A. (Jeanine) (v)",2,3562
1,VVD,2,"Hennis-Plasschaert, J.A. (Jeanine) (v)",3,3617
1,VVD,2,"Hennis-Plasschaert, J.A. (Jeanine) (v)",4,7138
1,VVD,2,"Hennis-Plasschaert, J.A. (Jeanine) (v)",5,3463
1,VVD,2,"Hennis-Plasschaert, J.A. (Jeanine) (v)",6,4492
1,VVD,2,"Hennis-Plasschaert, J.A. (Jeanine) (v)",7,13298
1,VVD,3,"Zijlstra, H. (Halbe) (m)",1,802
1,VVD,3,"Zijlstra, H. (Halbe) (m)",2,2389
1,VVD,3,"Zijlstra, H. (Halbe) (m)",3,881
1,VVD,3,"Zijlstra, H. (Halbe) (m)",4,925
1,VVD,3,"Zijlstra, H. (Halbe) (m)",5,446
1,VVD,3,"Zijlstra, H. (Halbe) (m)",6,502
1,VVD,3,"Zijlstra, H. (Halbe) (m)",7,1714
1,VVD,4,"van Ark, T. (Tamara) (v)",1,362
1,VVD,4,"van Ark, T. (Tamara) (v)",2,258
1,VVD,4,"van Ark, T. (Tamara) (v)",3,294
1,VVD,4,"van Ark, T. (Tamara) (v)",4,537
1,VVD,4,"van Ark, T. (Tamara) (v)",5,327
1,VVD,4,"van Ark, T. (Tamara) (v)",6,380
1,VVD,4,"van Ark, T. (Tamara) (v)",7,1064
1,VVD,5,"Dijkhoff, K.H.D.M. (Klaas) (m)",1,2950
1,VVD,5,"Dijkhoff, K.H.D.M. (Klaas) (m)",2,2995
1,VVD,5,"Dijkhoff, K.H.D.M. (Klaas) (m)",3,2729
1,VVD,5,"Dijkhoff, K.H.D.M. (Klaas) (m)",4,5604
1,VVD,5,"Dijkhoff, K.H.D.M. (Klaas) (m)",5,2261
1,VVD,5,"Dijkhoff, K.H.D.M. (Klaas) (m)",6,4258
1,VVD,5,"Dijkhoff, K.H.D.M. (Klaas) (m)",7,10436
1,VVD,6,"Dekker, S. (Sander) (m)",1,38
1,VVD,6,"Dekker, S. (Sander) (m)",2,66
